Area,Bedrooms,Bathrooms,Age,Location_City Center,Location_Rural,Location_Suburb,Property_Type_Apartment,Property_Type_House,Property_Type_Villa,Price
3511.0,5.0,2.0,45.0,1.0,0.0,0.0,0.0,0.0,1.0,42610000
3911.0,3.0,1.0,17.0,1.0,0.0,0.0,0.0,1.0,0.0,44410000
2705.0,1.0,3.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,15375000
3539.0,5.0,1.0,37.0,0.0,0.0,1.0,0.0,1.0,0.0,32017500
814.0,4.0,1.0,48.0,0.0,0.0,1.0,1.0,0.0,0.0,9255000
4061.0,4.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,37732500
2463.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,25147500
3706.0,5.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,47660000
535.0,1.0,2.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,4125000
715.0,1.0,1.0,32.0,0.0,0.0,1.0,0.0,0.0,1.0,5212500
4621.0,4.0,2.0,45.0,1.0,0.0,0.0,1.0,0.0,0.0,51710000
1777.0,5.0,3.0,21.0,0.0,0.0,1.0,0.0,0.0,1.0,21502500
2643.0,4.0,3.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,35330000
4871.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,57310000
3794.0,4.0,2.0,26.0,1.0,0.0,0.0,1.0,0.0,0.0,45340000
4523.0,2.0,2.0,42.0,0.0,0.0,1.0,0.0,1.0,0.0,35272500
1780.0,1.0,3.0,32.0,0.0,0.0,1.0,1.0,0.0,0.0,14700000
2836.0,5.0,3.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,19880000
1446.0,1.0,2.0,32.0,0.0,0.0,1.0,0.0,1.0,0.0,11445000
3390.0,2.0,3.0,40.0,1.0,0.0,0.0,1.0,0.0,0.0,36900000
4680.0,4.0,2.0,49.0,1.0,0.0,0.0,0.0,1.0,0.0,51900000
742.0,5.0,2.0,46.0,1.0,0.0,0.0,1.0,0.0,0.0,14820000
4012.0,2.0,2.0,34.0,0.0,1.0,0.0,1.0,0.0,0.0,21360000
1578.0,5.0,3.0,34.0,0.0,0.0,1.0,0.0,1.0,0.0,19035000
4418.0,2.0,1.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,23390000
2919.0,2.0,3.0,20.0,0.0,0.0,1.0,1.0,0.0,0.0,25642500
4360.0,4.0,1.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,38550000
2607.0,1.0,2.0,30.0,0.0,0.0,1.0,0.0,1.0,0.0,20302500
4543.0,1.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,1.0,35272500
4977.0,1.0,3.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,26885000
2214.0,1.0,3.0,29.0,0.0,1.0,0.0,1.0,0.0,0.0,12120000
1058.0,3.0,3.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0,13185000
1690.0,4.0,3.0,44.0,0.0,1.0,0.0,0.0,0.0,1.0,11750000
779.0,2.0,2.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,11690000
3449.0,3.0,3.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,21145000
4958.0,1.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,26540000
3451.0,2.0,2.0,39.0,1.0,0.0,0.0,1.0,0.0,0.0,36610000
1650.0,4.0,3.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,18375000
3367.0,3.0,1.0,48.0,0.0,1.0,0.0,0.0,1.0,0.0,17935000
3986.0,4.0,3.0,40.0,0.0,1.0,0.0,1.0,0.0,0.0,23430000
4610.0,5.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,58700000
3147.0,3.0,3.0,34.0,0.0,1.0,0.0,0.0,1.0,0.0,18535000
2618.0,1.0,3.0,23.0,1.0,0.0,0.0,0.0,0.0,1.0,28880000
4127.0,4.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,37102500
